Date,Open,High,Low,Close,Volume
2018-01-02,10500.0,11000.0,10400.0,11000.0,521304
2018-01-03,11000.0,11200.0,10600.0,10600.0,179046
2018-01-04,10800.0,10800.0,10500.0,10500.0,136389
2018-01-05,10600.0,11200.0,10300.0,10500.0,719293
2018-01-08,10700.0,10700.0,10500.0,10600.0,151000
2018-01-10,10400.0,10600.0,10100.0,10400.0,3103874
2018-01-11,10200.0,10300.0,10000.0,10000.0,2892810
2018-01-12,10000.0,10300.0,9900.0,9900.0,253147
2018-01-16,9900.0,10000.0,9600.0,10000.0,298650
2018-01-17,9900.0,10000.0,9700.0,9700.0,176887
2018-01-18,9600.0,9800.0,9400.0,9700.0,325768
2018-01-19,9700.0,10000.0,9500.0,9900.0,256223
2018-01-22,9900.0,10000.0,9600.0,9800.0,257523
2018-01-23,9900.0,9900.0,9700.0,9900.0,184915
2018-01-26,9300.0,9500.0,8400.0,9300.0,277990
2018-01-30,9700.0,9700.0,9300.0,9300.0,311049
2018-01-31,9400.0,9400.0,9100.0,9300.0,82483
